Nombre;Altura;Edad;Valor de mercado;Partidos jugados;Goles;Asistencias;Amarillas;Rojas;Nacionalidad_emb_1;Nacionalidad_emb_2;Nacionalidad_emb_3;Nacionalidad_emb_4;Nacionalidad_emb_5;Nacionalidad_emb_6;Nacionalidad_emb_7;Nacionalidad_emb_8;Club _emb_1;Club _emb_2;Club _emb_3;Club _emb_4;Club _emb_5;Club _emb_6;Club _emb_7;Club _emb_8;Posición_emb_1;Posición_emb_2;Posición_emb_3;Posición_emb_4;Posición_emb_5;Posición_emb_6;Posición_emb_7;Posición_emb_8
Pietro Comuzzo;1,88;20;25;13;0;0;1;0;-0,070087455;0,086913362;0,043283574;0,092748255;0,085460514;0,093211621;-0,045291722;-0,00876025;-0,079352163;-0,025099222;-0,091824986;-0,036718916;0,013221201;0,118694969;0,117255121;-0,082813583;-0,005392203;-0,002638085;0,067659743;0,121681586;-0,114754312;-0,090336435;0,085549518;0,108700164
Rodrigo Muniz;1,83;24;25;9;1;1;1;0;-0,010247849;0,033773843;0,068939246;0,090636082;-0,069321349;0,022180473;0,077888712;-0,062032707;0,020387594;-0,029309405;0,119028166;0,120226219;-0,121295892;0,030402875;0,07841783;0,046755958;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532
Alberto Moleiro;1,67;22;25;16;4;2;2;0;-0,018197507;0,027924707;-0,010844457;0,073231526;-0,032498866;0,027797619;0,071192317;0,102874391;-0,111534819;-0,010652932;0,101729132;0,098299079;-0,089638792;-0,046918262;0,040235106;-0,120882951;0,062863782;0,110490873;-0,099378586;0,061280698;-0,048775189;0,008166548;0,110378511;-0,058631115
Tyrick Mitchell;1,74;26;25;15;1;0;2;0;0,036739197;0,008365124;-0,101664379;-0,114033483;0,093274906;0,061707269;0,086865254;0,007207203;0,0492731;-0,079972073;0,107039653;-0,025023852;0,111330867;-0,067949563;-0,099752568;0,083477311;-0,038706813;0,082722649;0,021574922;0,005219473;0,044569455;0,002511997;0,121739149;0,061536744
Loïc Badé;1,91;25;25;14;0;0;3;0;-0,118933551;0,059899732;-0,107918292;-0,050820861;0,002380732;-0,005078932;-0,093127877;0,117712639;0,014909924;-0,107359141;-0,102674298;-0,00124013;0,016684568;-0,071914546;-0,057594374;-0,093278877;-0,005392203;-0,002638085;0,067659743;0,121681586;-0,114754312;-0,090336435;0,085549518;0,108700164
Luis Henrique;1,8;23;25;8;0;0;0;0;-0,010247849;0,033773843;0,068939246;0,090636082;-0,069321349;0,022180473;0,077888712;-0,062032707;-0,069649406;0,020569252;-0,011019945;0,086448185;0,050153639;0,05676036;0,019266184;-0,034814984;0,017680855;-0,073243722;-0,097688317;0,015628574;0,080919124;0,069317237;-0,112062551;0,107116312
Johnny Cardoso;1,85;24;25;3;0;0;2;0;-0,010227161;-0,109749995;-0,063007258;0,117230244;-0,021892484;0,036331289;0,114234693;0,110479884;-0,05408144;-0,015183867;0,01830525;-0,031488448;-0,086804241;-0,098341905;-0,112865217;-0,076127492;0,079588272;-0,047677509;-0,009437112;0,079044387;-0,090217039;-0,05154242;-0,089812942;-0,016847292
Tolu Arokodare;1,97;24;25;14;3;0;0;0;-0,117315315;-0,019477924;0,05638456;0,048864599;-0,080392458;-0,087196156;-0,06050792;-0,030091936;-0,008568488;0,035756052;-0,075108059;0,022847077;-0,08666604;-0,109379224;-0,072892621;-0,113279171;-0,061601538;-0,052023135;0,09470138;-0,011289039;-0,053629149;0,080023617;-0,055796288;-0,027693532
Konstantinos Koulierakis;1,88;21;25;11;0;0;1;0;0,075248383;0,061881263;0,064953357;-0,037517842;0,120199412;-0,092804052;-0,088617891;-0,029861912;0,031886235;-0,048269723;0,089335337;0,009040167;0,045038346;-0,034704935;-0,021411447;0,095308356;-0,005392203;-0,002638085;0,067659743;0,121681586;-0,114754312;-0,090336435;0,085549518;0,108700164
Equi Fernández;1,78;23;25;8;0;0;1;0;-0,10625907;0,03760311;-0,056812607;-0,060988799;0,046214957;0,065771557;0,09844967;-0,074539743;0,014909924;-0,107359141;-0,102674298;-0,00124013;0,016684568;-0,071914546;-0,057594374;-0,093278877;-0,016960477;-0,117974713;0,056287192;0,011867293;0,094767965;-0,011302987;-0,029954249;-0,11315833
